Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-705,28,25 - 34,Female,Divorced,Marketing,Marketing Specialist,3,Master's Degree,Other,0,0,0,0,0,9266,2,0,2,4,3,2,1,1,No,Travel_Rarely,3,3,1,No,Current Employees,1,44,883,16774,1,80,Y
STAFF-706,34,25 - 34,Male,Divorced,Sales,Sales Executive,1,Bachelor's Degree,Technical Degree,11,4,0,0,0,3147,18,0,1,1,1,4,1,2,No,Travel_Rarely,1,1,1,Yes,Ex-Employees,0,62,1109,7765,1,80,Y
STAFF-707,49,45 - 54,Female,Single,Finance,Finance Manager,2,Bachelor's Degree,Life Sciences,21,2,1,0,0,7790,10,2,4,2,1,4,4,3,No,Travel_Frequently,8,3,3,Yes,Ex-Employees,0,81,876,15475,1,80,Y
STAFF-708,28,25 - 34,Male,Married,Marketing,Marketing Manager,1,Bachelor's Degree,Technical Degree,2,1,1,0,1,7733,14,0,3,3,2,1,4,3,No,Travel_Rarely,2,1,3,Yes,Ex-Employees,0,82,371,22204,1,80,Y
STAFF-709,18,Under 25,Male,Divorced,IT,IT Support,1,Associates Degree,Other,0,0,0,0,0,7666,3,0,3,3,2,2,1,3,Yes,Travel_Rarely,9,2,3,Yes,Ex-Employees,0,67,1080,20083,1,80,Y
STAFF-710,26,25 - 34,Female,Married,Sales,Manager,2,Associates Degree,Life Sciences,8,5,1,0,0,7920,21,0,2,1,4,3,1,2,No,Travel_Rarely,1,1,1,No,Current Employees,1,31,1014,14036,1,80,Y
STAFF-711,43,35 - 44,Male,Married,Sales,Sales Representative,2,Master's Degree,Marketing,28,0,0,0,0,7879,12,1,4,3,3,4,4,4,No,Travel_Rarely,1,6,3,No,Current Employees,1,58,1452,13964,1,80,Y
STAFF-712,48,45 - 54,Male,Divorced,Finance,Accountant,1,Associates Degree,Life Sciences,28,1,0,0,0,10572,16,0,4,2,2,4,1,4,Yes,Travel_Rarely,40,2,1,No,Current Employees,1,72,201,9359,1,80,Y
STAFF-713,40,35 - 44,Female,Married,IT,Software Engineer,4,Bachelor's Degree,Technical Degree,24,7,4,0,0,13171,16,2,4,3,3,1,4,4,Yes,Travel_Frequently,4,0,2,No,Current Employees,1,107,843,11313,1,80,Y
STAFF-714,36,35 - 44,Female,Married,IT,Data Analyst,2,Associates Degree,Technical Degree,15,1,0,0,1,10560,14,0,1,4,3,2,3,3,No,Non-Travel,17,5,1,No,Current Employees,1,65,340,13651,1,80,Y
STAFF-715,37,35 - 44,Male,Divorced,R&D,Manufacturing Director,2,Associates Degree,Technical Degree,18,8,3,1,1,12638,14,0,4,1,1,2,4,3,No,Non-Travel,22,3,1,No,Current Employees,1,73,847,16254,1,80,Y
STAFF-716,41,35 - 44,Female,Single,HR,HR Specialist,2,PhD,Technical Degree,20,5,0,0,5,9220,15,0,2,3,2,3,2,4,No,Travel_Rarely,5,5,2,Yes,Ex-Employees,0,62,908,19472,1,80,Y
STAFF-717,30,25 - 34,Male,Divorced,Finance,Accountant,1,Master's Degree,Human Resources,12,10,4,0,3,5751,23,0,2,4,4,3,2,2,No,Travel_Rarely,4,6,2,Yes,Ex-Employees,0,63,1423,9120,1,80,Y
STAFF-718,33,25 - 34,Female,Single,R&D,Healthcare Representative,1,Associates Degree,Life Sciences,8,1,1,0,1,7338,8,0,1,1,4,3,4,3,Yes,Non-Travel,8,1,3,Yes,Ex-Employees,0,61,937,16037,1,80,Y
STAFF-719,53,45 - 54,Female,Single,HR,Recruiter,2,High School,Marketing,32,1,1,0,1,8351,17,2,3,4,1,3,1,3,Yes,Travel_Rarely,1,6,3,No,Current Employees,1,94,1242,16025,1,80,Y
STAFF-720,45,45 - 54,Male,Single,HR,HR Specialist,1,Bachelor's Degree,Marketing,21,11,2,0,2,8309,22,1,2,4,4,4,4,3,Yes,Travel_Rarely,11,0,5,No,Current Employees,1,60,965,14500,1,80,Y
STAFF-721,45,45 - 54,Female,Single,IT,Software Engineer,2,Associates Degree,Other,17,0,0,0,0,8948,11,2,4,2,4,1,4,2,Yes,Travel_Rarely,7,4,1,Yes,Ex-Employees,0,39,896,19021,1,80,Y
STAFF-722,20,Under 25,Female,Married,Marketing,Content Creator,1,Master's Degree,Marketing,0,0,0,0,0,6070,18,0,3,3,1,3,4,3,Yes,Travel_Rarely,8,4,3,No,Current Employees,1,65,384,23787,1,80,Y
STAFF-723,30,25 - 34,Female,Married,HR,Recruiter,1,Bachelor's Degree,Life Sciences,12,7,2,1,0,9669,17,2,4,1,2,1,1,2,Yes,Non-Travel,10,6,2,Yes,Ex-Employees,0,57,693,9893,1,80,Y
STAFF-724,18,Under 25,Male,Married,Finance,Accountant,2,Master's Degree,Human Resources,0,0,0,0,0,7479,9,2,4,3,4,4,3,3,Yes,Non-Travel,21,4,3,Yes,Ex-Employees,0,68,666,12638,1,80,Y
STAFF-725,31,25 - 34,Male,Married,IT,Data Analyst,2,Master's Degree,Medical,2,0,0,0,0,6428,15,1,1,4,3,2,4,4,No,Non-Travel,1,3,1,No,Current Employees,1,63,979,10849,1,80,Y
STAFF-726,54,45 - 54,Female,Married,HR,Recruiter,2,Master's Degree,Human Resources,34,5,1,1,0,9729,17,0,1,4,1,3,1,3,No,Travel_Frequently,3,0,2,Yes,Ex-Employees,0,58,735,8244,1,80,Y
STAFF-727,26,25 - 34,Male,Married,IT,Data Analyst,2,Associates Degree,Other,7,6,1,1,0,9054,17,0,3,2,2,4,1,1,No,Travel_Rarely,8,4,2,No,Current Employees,1,90,948,18484,1,80,Y
STAFF-728,41,35 - 44,Female,Single,Finance,Finance Manager,1,Master's Degree,Technical Degree,14,1,1,1,0,5502,19,0,1,2,4,2,3,2,Yes,Travel_Rarely,1,3,3,Yes,Ex-Employees,0,92,986,11911,1,80,Y
STAFF-729,30,25 - 34,Female,Married,R&D,Laboratory Technician,1,Associates Degree,Marketing,3,1,0,0,1,8369,15,1,3,4,4,4,2,3,Yes,Travel_Rarely,5,5,2,Yes,Ex-Employees,0,83,768,13003,1,80,Y
STAFF-730,36,35 - 44,Female,Married,Finance,Accountant,2,PhD,Medical,7,3,3,0,0,8094,22,1,2,3,3,2,1,3,No,Non-Travel,3,1,1,No,Current Employees,1,53,323,12893,1,80,Y
STAFF-731,42,35 - 44,Male,Single,HR,HR Manager,1,Master's Degree,Life Sciences,30,0,0,0,0,8605,16,2,1,1,2,3,2,2,No,Non-Travel,5,4,1,Yes,Ex-Employees,0,69,1330,12715,1,80,Y
STAFF-732,37,35 - 44,Male,Divorced,Finance,Financial Analyst,2,Master's Degree,Technical Degree,17,8,0,0,0,11164,16,2,4,1,1,1,2,3,No,Non-Travel,12,5,1,No,Current Employees,1,80,852,23196,1,80,Y
STAFF-733,41,35 - 44,Male,Single,Finance,Accountant,1,Bachelor's Degree,Medical,20,6,3,3,0,4627,15,2,2,1,2,3,1,3,Yes,Non-Travel,1,5,1,Yes,Ex-Employees,0,73,1244,16888,1,80,Y
STAFF-734,32,25 - 34,Female,Divorced,IT,IT Support,1,Master's Degree,Technical Degree,13,1,1,1,1,7109,14,0,4,2,2,2,3,2,No,Non-Travel,40,5,2,Yes,Ex-Employees,0,71,578,18614,1,80,Y
STAFF-735,43,35 - 44,Female,Divorced,Finance,Accountant,3,Associates Degree,Technical Degree,25,0,0,0,0,11227,14,0,1,2,2,4,3,3,Yes,Travel_Frequently,9,5,4,No,Current Employees,1,57,702,14039,1,80,Y
STAFF-736,33,25 - 34,Male,Single,HR,HR Specialist,1,Associates Degree,Medical,11,5,0,0,1,6172,15,1,4,3,1,3,1,2,No,Travel_Rarely,15,3,1,No,Current Employees,1,83,221,13008,1,80,Y
STAFF-737,18,Under 25,Male,Single,IT,Software Engineer,1,Associates Degree,Other,0,0,0,0,0,7485,10,0,4,3,3,1,4,1,No,Travel_Frequently,1,5,1,Yes,Ex-Employees,0,86,760,18340,1,80,Y
STAFF-738,28,25 - 34,Male,Single,Marketing,Content Creator,2,High School,Other,3,2,1,1,2,9603,18,2,1,1,2,4,4,3,No,Travel_Rarely,13,6,3,No,Current Employees,1,40,822,18761,1,80,Y
STAFF-739,46,45 - 54,Female,Divorced,Finance,Financial Analyst,2,Master's Degree,Marketing,29,2,1,1,1,7236,17,0,4,2,4,2,4,3,No,Non-Travel,26,4,1,No,Current Employees,1,41,987,13631,1,80,Y
STAFF-740,36,35 - 44,Male,Single,Sales,Manager,1,Associates Degree,Other,11,0,0,0,0,5395,18,1,1,1,3,4,4,3,No,Travel_Rarely,6,6,3,Yes,Ex-Employees,0,30,746,8608,1,80,Y
STAFF-741,35,35 - 44,Female,Single,R&D,Healthcare Representative,1,Master's Degree,Other,14,0,0,0,0,8279,11,0,4,3,2,1,4,2,Yes,Non-Travel,3,1,1,Yes,Ex-Employees,0,72,939,20436,1,80,Y
STAFF-742,31,25 - 34,Male,Married,IT,Data Analyst,1,Bachelor's Degree,Technical Degree,11,8,0,0,1,7261,15,1,1,1,4,4,2,3,Yes,Travel_Rarely,29,2,2,Yes,Ex-Employees,0,58,729,20394,1,80,Y
STAFF-743,18,Under 25,Female,Married,Marketing,Marketing Manager,2,Bachelor's Degree,Technical Degree,0,0,0,0,0,9682,17,0,1,1,1,3,2,3,No,Non-Travel,5,6,2,Yes,Ex-Employees,0,90,297,17916,1,80,Y
STAFF-744,22,Under 25,Female,Divorced,IT,Software Engineer,1,Master's Degree,Marketing,6,4,0,0,1,8119,10,0,4,1,4,1,2,4,No,Travel_Frequently,2,0,1,Yes,Ex-Employees,0,69,929,23723,1,80,Y
STAFF-745,19,Under 25,Female,Married,IT,Data Analyst,1,Master's Degree,Technical Degree,2,2,2,0,2,5745,22,0,2,1,1,4,3,3,No,Travel_Rarely,10,3,1,Yes,Ex-Employees,0,54,333,18829,1,80,Y
STAFF-746,38,35 - 44,Male,Married,Marketing,Marketing Specialist,1,High School,Technical Degree,19,2,0,0,1,6027,12,2,4,4,2,1,4,3,No,Travel_Rarely,1,3,3,Yes,Ex-Employees,0,67,1335,16556,1,80,Y
STAFF-747,27,25 - 34,Female,Divorced,Finance,Accountant,2,Bachelor's Degree,Marketing,8,2,2,1,0,9560,8,0,1,4,2,4,4,3,Yes,Travel_Rarely,1,0,4,Yes,Ex-Employees,0,53,810,16109,1,80,Y
STAFF-748,34,25 - 34,Male,Single,HR,Recruiter,1,Bachelor's Degree,Other,12,0,0,0,0,7032,21,0,3,2,3,3,1,2,No,Travel_Frequently,1,2,1,Yes,Ex-Employees,0,98,668,15494,1,80,Y
STAFF-749,36,35 - 44,Male,Single,IT,Data Analyst,1,Bachelor's Degree,Human Resources,15,1,0,0,0,6941,19,1,1,4,3,1,1,3,No,Non-Travel,9,6,1,Yes,Ex-Employees,0,50,532,9503,1,80,Y
STAFF-750,49,45 - 54,Male,Divorced,R&D,Healthcare Representative,1,Master's Degree,Marketing,25,7,0,0,1,4634,18,2,2,2,2,2,1,3,Yes,Non-Travel,6,3,2,Yes,Ex-Employees,0,69,967,17953,1,80,Y
STAFF-751,20,Under 25,Male,Divorced,Sales,Manager,2,Associates Degree,Technical Degree,0,0,0,0,0,11583,22,0,3,1,4,3,2,3,No,Non-Travel,4,6,1,No,Current Employees,1,41,1416,5000,1,80,Y
STAFF-752,18,Under 25,Male,Single,IT,Data Analyst,2,Master's Degree,Human Resources,3,2,1,1,2,9917,23,1,4,3,1,1,2,4,No,Travel_Rarely,4,0,1,No,Current Employees,1,72,275,8570,1,80,Y
STAFF-753,29,25 - 34,Male,Married,Finance,Accountant,3,High School,Technical Degree,6,2,2,2,0,9984,14,2,1,2,3,3,4,4,No,Non-Travel,11,3,1,Yes,Ex-Employees,0,68,1037,11597,1,80,Y
STAFF-754,25,25 - 34,Female,Single,Finance,Accountant,1,Associates Degree,Other,12,1,0,0,1,8319,11,0,1,4,3,4,1,2,Yes,Non-Travel,15,0,3,Yes,Ex-Employees,0,46,746,9974,1,80,Y
STAFF-755,30,25 - 34,Male,Divorced,R&D,Manufacturing Director,2,Associates Degree,Human Resources,6,1,1,1,0,8158,7,0,2,1,4,1,1,3,No,Travel_Frequently,2,2,2,Yes,Ex-Employees,0,101,795,15898,1,80,Y
STAFF-756,35,35 - 44,Female,Divorced,Finance,Accountant,2,Associates Degree,Marketing,7,5,1,1,1,9075,12,0,1,4,1,4,3,2,No,Travel_Rarely,2,5,1,Yes,Ex-Employees,0,52,1294,13423,1,80,Y
STAFF-757,25,25 - 34,Female,Single,R&D,Manufacturing Director,2,Associates Degree,Medical,0,0,0,0,0,10485,3,2,4,3,2,4,1,4,Yes,Non-Travel,1,1,1,Yes,Ex-Employees,0,67,1049,21960,1,80,Y
STAFF-758,35,35 - 44,Male,Married,HR,HR Manager,1,Associates Degree,Other,12,3,1,0,3,7405,15,0,2,1,1,3,1,4,No,Travel_Frequently,2,4,1,No,Current Employees,1,49,898,22753,1,80,Y
STAFF-759,21,Under 25,Female,Single,Marketing,Content Creator,2,High School,Other,0,0,0,0,0,7788,12,0,3,3,2,4,1,3,No,Non-Travel,10,1,3,No,Current Employees,1,57,1083,9859,1,80,Y
STAFF-760,35,35 - 44,Male,Single,HR,Recruiter,1,Bachelor's Degree,Life Sciences,14,6,4,2,0,7564,14,0,2,1,2,1,3,4,Yes,Travel_Rarely,13,0,1,No,Current Employees,1,54,1187,16319,1,80,Y
STAFF-761,31,25 - 34,Male,Divorced,Finance,Finance Manager,2,Bachelor's Degree,Other,15,0,0,0,0,7686,21,1,1,1,1,2,2,4,Yes,Travel_Rarely,46,0,3,Yes,Ex-Employees,0,76,914,14448,1,80,Y
STAFF-762,34,25 - 34,Male,Single,HR,HR Specialist,2,Bachelor's Degree,Other,13,4,0,0,2,8879,16,0,2,3,3,2,1,4,Yes,Travel_Rarely,2,0,6,No,Current Employees,1,55,1305,9318,1,80,Y
STAFF-763,40,35 - 44,Female,Single,Marketing,Content Creator,1,Associates Degree,Medical,22,3,0,0,0,5795,5,1,2,1,1,2,2,3,Yes,Non-Travel,4,1,1,Yes,Ex-Employees,0,58,703,18794,1,80,Y
STAFF-764,20,Under 25,Female,Single,Marketing,Marketing Specialist,1,Bachelor's Degree,Marketing,2,2,2,2,2,5781,16,2,3,1,2,1,3,4,Yes,Travel_Frequently,5,3,4,Yes,Ex-Employees,0,60,1029,17208,1,80,Y
STAFF-765,22,Under 25,Male,Married,Finance,Financial Analyst,1,High School,Life Sciences,1,0,0,0,0,6453,12,0,3,4,1,4,3,3,No,Travel_Rarely,1,4,4,No,Current Employees,1,35,1437,19858,1,80,Y
STAFF-766,39,35 - 44,Male,Single,Finance,Finance Manager,2,PhD,Technical Degree,14,8,2,0,0,11323,22,0,2,3,3,2,1,3,No,Travel_Rarely,1,6,2,No,Current Employees,1,35,724,17171,1,80,Y
STAFF-767,37,35 - 44,Male,Married,Marketing,Content Creator,1,High School,Other,18,0,0,0,0,5057,7,1,2,3,3,4,2,2,Yes,Non-Travel,6,6,1,No,Current Employees,1,81,1389,17642,1,80,Y
STAFF-768,38,35 - 44,Female,Divorced,R&D,Manufacturing Director,3,Bachelor's Degree,Technical Degree,13,0,0,0,0,12926,12,2,3,4,2,3,3,3,No,Travel_Frequently,9,2,1,No,Current Employees,1,80,503,10342,1,80,Y
STAFF-769,32,25 - 34,Male,Divorced,Finance,Accountant,1,Bachelor's Degree,Life Sciences,7,4,2,0,4,5527,13,1,2,1,1,3,1,3,No,Non-Travel,2,2,3,Yes,Ex-Employees,0,61,831,21341,1,80,Y
STAFF-770,44,35 - 44,Male,Single,IT,Data Analyst,2,Associates Degree,Technical Degree,18,2,2,1,1,10860,9,1,1,2,3,2,3,4,No,Non-Travel,4,0,1,No,Current Employees,1,64,826,21834,1,80,Y
STAFF-771,36,35 - 44,Male,Married,HR,HR Specialist,3,Bachelor's Degree,Marketing,14,2,0,0,2,14582,13,1,4,3,1,4,1,3,No,Travel_Rarely,3,3,2,No,Current Employees,1,49,1140,6559,1,80,Y
STAFF-772,30,25 - 34,Male,Single,Sales,Manager,1,PhD,Life Sciences,0,0,0,0,0,6139,15,0,2,4,3,2,4,4,No,Travel_Rarely,6,3,1,No,Current Employees,1,65,364,19805,1,80,Y
STAFF-773,42,35 - 44,Male,Divorced,IT,IT Support,2,Master's Degree,Marketing,12,6,0,0,0,12366,15,0,1,4,1,1,1,4,Yes,Travel_Frequently,13,6,1,No,Current Employees,1,80,483,15977,1,80,Y
STAFF-774,18,Under 25,Female,Single,HR,Recruiter,1,Master's Degree,Human Resources,0,0,0,0,0,6477,15,1,2,1,3,4,3,3,Yes,Travel_Rarely,33,3,4,Yes,Ex-Employees,0,82,1067,11894,1,80,Y
STAFF-775,34,25 - 34,Female,Married,HR,Recruiter,1,Bachelor's Degree,Other,5,3,3,3,0,6302,7,2,3,2,4,4,4,3,Yes,Non-Travel,5,0,1,No,Current Employees,1,30,548,13313,1,80,Y
STAFF-776,25,25 - 34,Male,Married,R&D,Manufacturing Director,1,Master's Degree,Marketing,8,2,1,1,0,7016,22,0,3,2,3,4,2,4,Yes,Travel_Rarely,1,3,1,Yes,Ex-Employees,0,80,292,23813,1,80,Y
STAFF-777,37,35 - 44,Female,Divorced,Marketing,Content Creator,1,PhD,Medical,15,3,1,0,3,5644,16,1,3,1,1,1,2,4,Yes,Travel_Frequently,27,3,7,No,Current Employees,1,68,1301,11390,1,80,Y
STAFF-778,46,45 - 54,Female,Married,Marketing,Content Creator,1,Associates Degree,Medical,29,2,1,0,1,8008,15,0,2,1,3,1,1,3,No,Travel_Rarely,9,1,2,No,Current Employees,1,69,623,12068,1,80,Y
STAFF-779,42,35 - 44,Male,Divorced,Marketing,Content Creator,1,High School,Other,22,0,0,0,0,9240,9,0,1,3,3,1,1,2,No,Non-Travel,6,6,2,Yes,Ex-Employees,0,63,1557,8993,1,80,Y
STAFF-780,30,25 - 34,Female,Divorced,R&D,Research Scientist,2,Master's Degree,Medical,0,0,0,0,0,8084,8,0,4,1,2,2,2,2,No,Non-Travel,5,2,3,Yes,Ex-Employees,0,67,689,8512,1,80,Y
STAFF-781,52,45 - 54,Female,Divorced,Sales,Sales Representative,1,Associates Degree,Marketing,32,1,1,0,1,8042,22,0,3,3,3,2,4,2,Yes,Non-Travel,2,3,1,No,Current Employees,1,84,671,7955,1,80,Y
STAFF-782,33,25 - 34,Female,Divorced,R&D,Laboratory Technician,2,High School,Human Resources,1,1,1,1,1,10982,15,0,2,2,3,1,1,3,No,Non-Travel,8,1,5,No,Current Employees,1,66,641,20566,1,80,Y
STAFF-783,36,35 - 44,Female,Divorced,Marketing,Marketing Manager,3,Bachelor's Degree,Other,14,1,0,0,1,13435,25,1,2,1,2,4,2,2,No,Travel_Frequently,18,3,2,Yes,Ex-Employees,0,64,730,20208,1,80,Y
STAFF-784,49,45 - 54,Female,Divorced,HR,Recruiter,1,Master's Degree,Medical,17,3,0,0,0,8424,11,2,4,3,2,1,3,4,No,Non-Travel,1,0,1,Yes,Ex-Employees,0,84,444,17368,1,80,Y
STAFF-785,44,35 - 44,Male,Divorced,Finance,Financial Analyst,1,Bachelor's Degree,Life Sciences,10,0,0,0,0,8270,13,1,4,3,4,2,1,2,No,Travel_Frequently,1,1,1,Yes,Ex-Employees,0,49,672,16446,1,80,Y
STAFF-786,40,35 - 44,Male,Divorced,Marketing,Marketing Specialist,2,High School,Marketing,11,9,1,1,2,8186,12,0,1,2,3,1,4,4,No,Travel_Rarely,27,0,1,Yes,Ex-Employees,0,39,936,14162,1,80,Y
STAFF-787,52,45 - 54,Male,Single,IT,IT Support,1,Bachelor's Degree,Life Sciences,32,4,0,0,0,5169,12,2,4,3,1,3,2,2,Yes,Travel_Rarely,1,4,1,Yes,Ex-Employees,0,46,688,10282,1,80,Y
STAFF-788,36,35 - 44,Female,Married,Finance,Accountant,1,Master's Degree,Life Sciences,18,2,1,0,1,7112,20,1,3,3,2,4,1,3,No,Non-Travel,11,5,2,No,Current Employees,1,30,987,9039,1,80,Y
STAFF-789,40,35 - 44,Female,Single,Finance,Accountant,2,Bachelor's Degree,Life Sciences,24,4,0,0,0,13900,25,0,3,3,3,4,1,2,No,Travel_Rarely,2,2,1,Yes,Ex-Employees,0,75,1488,24102,1,80,Y
STAFF-790,25,25 - 34,Male,Single,Marketing,Marketing Manager,2,Associates Degree,Medical,0,0,0,0,0,9453,16,0,3,3,1,2,1,3,No,Travel_Frequently,3,3,1,No,Current Employees,1,48,656,8128,1,80,Y
STAFF-791,35,35 - 44,Female,Married,Finance,Financial Analyst,2,Bachelor's Degree,Medical,14,1,1,0,0,11365,18,0,1,4,2,4,1,3,Yes,Travel_Frequently,3,4,1,No,Current Employees,1,69,721,23420,1,80,Y
STAFF-792,19,Under 25,Female,Divorced,HR,HR Manager,4,Associates Degree,Other,5,0,0,0,0,12549,19,3,4,2,1,1,2,3,No,Non-Travel,3,0,1,Yes,Ex-Employees,0,83,1177,16522,1,80,Y
STAFF-793,28,25 - 34,Female,Married,Marketing,Content Creator,1,Bachelor's Degree,Marketing,7,3,1,0,2,5648,12,0,3,3,1,4,3,2,No,Travel_Rarely,1,3,3,Yes,Ex-Employees,0,30,247,23314,1,80,Y
STAFF-794,43,35 - 44,Female,Married,R&D,Laboratory Technician,1,Bachelor's Degree,Medical,19,0,0,0,0,6323,17,0,3,1,2,2,4,2,No,Travel_Frequently,2,1,4,No,Current Employees,1,30,1115,15741,1,80,Y
STAFF-795,27,25 - 34,Male,Divorced,Marketing,Marketing Specialist,2,Bachelor's Degree,Technical Degree,5,2,1,1,0,7470,26,0,4,1,3,4,2,3,No,Non-Travel,1,5,2,No,Current Employees,1,60,1109,6950,1,80,Y
STAFF-796,42,35 - 44,Female,Single,Finance,Finance Manager,1,Bachelor's Degree,Medical,14,1,1,1,1,8575,13,0,2,3,3,1,3,3,No,Travel_Rarely,1,5,2,No,Current Employees,1,59,887,16329,1,80,Y
STAFF-797,36,35 - 44,Male,Single,Finance,Accountant,1,Bachelor's Degree,Technical Degree,9,0,0,0,0,6808,6,0,2,1,2,3,2,3,No,Travel_Rarely,10,2,2,Yes,Ex-Employees,0,55,784,8273,1,80,Y
STAFF-798,23,Under 25,Male,Single,R&D,Research Scientist,2,High School,Marketing,0,0,0,0,0,10701,12,0,1,3,3,3,1,2,No,Non-Travel,14,2,1,Yes,Ex-Employees,0,84,318,14619,1,80,Y
STAFF-799,27,25 - 34,Male,Divorced,Sales,Sales Representative,2,Bachelor's Degree,Medical,9,4,2,0,1,9415,12,3,4,2,1,2,3,3,No,Travel_Frequently,1,2,3,No,Current Employees,1,85,796,17936,1,80,Y
STAFF-800,18,Under 25,Female,Single,R&D,Healthcare Representative,2,High School,Marketing,3,1,1,1,1,8021,12,0,1,2,4,2,3,3,No,Travel_Rarely,1,3,4,Yes,Ex-Employees,0,92,871,20518,1,80,Y
STAFF-801,18,Under 25,Female,Divorced,IT,Data Analyst,3,Bachelor's Degree,Other,0,0,0,0,0,9058,25,2,2,4,1,2,2,1,Yes,Travel_Rarely,20,6,1,Yes,Ex-Employees,0,50,754,16894,1,80,Y
STAFF-802,35,35 - 44,Female,Married,HR,HR Specialist,2,Bachelor's Degree,Medical,4,4,0,0,4,9424,26,1,1,4,3,2,4,2,No,Non-Travel,7,4,1,Yes,Ex-Employees,0,103,972,24054,1,80,Y
STAFF-803,30,25 - 34,Female,Married,R&D,Research Scientist,1,Bachelor's Degree,Other,7,2,0,0,1,7729,20,2,1,1,3,2,4,2,No,Travel_Frequently,1,1,1,Yes,Ex-Employees,0,37,1072,16713,1,80,Y
STAFF-804,23,Under 25,Female,Divorced,Finance,Finance Manager,1,PhD,Other,8,2,1,1,0,6765,17,0,2,4,4,4,3,3,No,Travel_Rarely,1,1,3,No,Current Employees,1,76,771,16997,1,80,Y
STAFF-805,23,Under 25,Male,Married,IT,IT Support,1,PhD,Other,6,6,1,1,4,4780,12,0,1,4,2,3,4,3,No,Travel_Rarely,4,4,1,No,Current Employees,1,48,1555,15674,1,80,Y
STAFF-806,29,25 - 34,Male,Single,Sales,Sales Executive,2,Associates Degree,Marketing,1,1,0,0,0,8990,17,0,1,1,3,4,2,2,Yes,Travel_Rarely,7,6,3,Yes,Ex-Employees,0,78,757,18371,1,80,Y
STAFF-807,36,35 - 44,Female,Single,R&D,Laboratory Technician,1,Bachelor's Degree,Life Sciences,7,3,1,0,1,7085,17,0,4,2,1,3,2,4,No,Travel_Rarely,15,0,1,No,Current Employees,1,58,936,16051,1,80,Y
STAFF-808,28,25 - 34,Female,Married,R&D,Research Scientist,2,Bachelor's Degree,Medical,14,4,1,1,0,10427,19,0,4,4,2,1,4,3,No,Travel_Frequently,12,6,2,No,Current Employees,1,91,296,19875,1,80,Y
STAFF-809,27,25 - 34,Female,Single,HR,HR Manager,2,High School,Medical,0,0,0,0,0,6906,15,2,2,3,3,3,2,3,No,Travel_Rarely,17,3,5,No,Current Employees,1,64,902,15834,1,80,Y
STAFF-810,34,25 - 34,Female,Married,Finance,Accountant,1,Bachelor's Degree,Marketing,12,0,0,0,0,5340,10,0,3,4,1,4,1,2,No,Non-Travel,13,6,3,Yes,Ex-Employees,0,99,495,11382,1,80,Y
STAFF-811,31,25 - 34,Female,Married,Finance,Financial Analyst,1,Associates Degree,Human Resources,7,2,2,2,2,5980,12,1,4,1,1,3,4,3,No,Travel_Rarely,5,6,5,Yes,Ex-Employees,0,59,473,12130,1,80,Y
STAFF-812,45,45 - 54,Male,Married,IT,Software Engineer,2,Associates Degree,Marketing,14,2,1,1,2,7596,14,0,1,2,2,3,4,3,No,Travel_Frequently,8,6,1,Yes,Ex-Employees,0,30,615,5448,1,80,Y
STAFF-813,40,35 - 44,Male,Single,R&D,Healthcare Representative,2,Associates Degree,Medical,24,1,0,0,0,11427,10,0,3,2,3,2,3,3,No,Travel_Rarely,5,0,3,No,Current Employees,1,58,952,18039,1,80,Y
STAFF-814,46,45 - 54,Male,Divorced,IT,IT Support,2,Bachelor's Degree,Other,27,1,0,0,0,6518,19,1,3,3,3,4,1,4,No,Travel_Frequently,1,2,3,Yes,Ex-Employees,0,30,430,13018,1,80,Y
STAFF-815,35,35 - 44,Male,Divorced,IT,IT Support,3,Bachelor's Degree,Marketing,6,6,0,0,0,13000,8,0,2,3,4,3,2,3,Yes,Travel_Rarely,1,4,1,No,Current Employees,1,56,1241,22427,1,80,Y
STAFF-816,25,25 - 34,Male,Single,IT,Software Engineer,3,Bachelor's Degree,Marketing,10,6,0,0,1,10315,11,0,3,1,2,3,3,3,Yes,Non-Travel,7,4,1,No,Current Employees,1,56,870,12824,1,80,Y
STAFF-817,22,Under 25,Male,Married,Finance,Accountant,2,Master's Degree,Medical,0,0,0,0,0,8333,23,0,2,1,1,1,1,3,No,Travel_Rarely,4,1,1,Yes,Ex-Employees,0,77,319,11674,1,80,Y
STAFF-818,43,35 - 44,Male,Married,R&D,Manufacturing Director,4,Bachelor's Degree,Life Sciences,17,1,0,0,1,13404,13,1,4,3,1,3,3,3,No,Travel_Rarely,2,3,2,Yes,Ex-Employees,0,34,338,5000,1,80,Y
STAFF-819,32,25 - 34,Female,Single,Finance,Financial Analyst,3,High School,Technical Degree,16,13,1,0,2,10146,9,2,2,4,3,2,1,3,No,Non-Travel,3,5,1,Yes,Ex-Employees,0,51,775,20705,1,80,Y
